geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,NSCLC,SCLC
T,0.121006602,-0.013027574,2.462743529,-0.005289862,0.99577932,,0,0
APP,217696.7963,-14.15900284,0.563237542,-25.13859924,1.88E-139,1.50E-135,0,0
CASP2,1621670.856,18.05961315,0.95514914,18.90763693,9.87E-80,3.93E-76,0,0
ORAI2,360190.9002,17.37478938,0.988969807,17.56857413,4.29E-69,1.14E-65,0,0
SYPL1,324979.3731,14.78994773,0.881834141,16.77180214,3.92E-63,7.82E-60,0,0
RCOR1,195829.4971,13.66262551,0.848740501,16.0975298,2.65E-58,4.23E-55,0,0
SAV1,32178.99471,13.07274364,0.835436087,15.64780818,3.44E-55,4.57E-52,0,0
ZNF485,21788.28744,13.48464731,1.003725576,13.4345957,3.79E-41,4.32E-38,0,0
TMEM111,243138.2296,16.14508929,1.229237888,13.13422686,2.10E-39,2.09E-36,0,0
SNX22,520.4337814,9.144524651,0.875402425,10.44608101,1.53E-25,1.35E-22,0,0
ATAD3C,5608.056273,9.446206566,0.956439551,9.87642821,5.27E-23,4.20E-20,0,0
MMAB,257.6118345,6.170307571,0.638459626,9.664366108,4.27E-22,3.09E-19,0,0
RNF168,384.1238097,5.792786289,0.60143,9.631688287,5.88E-22,3.90E-19,0,0
NGB,74952.17014,30,3.30132724,9.087254253,1.02E-19,5.78E-17,0,0
FAM55A,9378.290696,30,3.301327482,9.087253587,1.02E-19,5.78E-17,0,0
NOX4,4107.477731,7.849497019,0.899508785,8.726426188,2.63E-18,1.40E-15,0,0
KIF6,120538.8368,21.50599733,2.747829309,7.826540485,5.01E-15,2.50E-12,0,0
SCAND2,148.5497283,6.638961701,0.87350839,7.600341081,2.95E-14,1.38E-11,0,0
FLVCR2,19.39497085,-2.768922596,0.421615489,-6.567411939,5.12E-11,2.27E-08,0,0
SIDT1,594.8922021,3.354100189,0.555788062,6.034854685,1.59E-09,6.67E-07,0,0
NCAPD2,67.9066436,2.445474642,0.477809294,5.118097684,3.09E-07,0.000122959,0,0
ASTN2,42.67230745,2.304120348,0.465359541,4.951269174,7.37E-07,0.000279757,0,0
COL11A1,13.42423096,-2.588221772,0.544690742,-4.751727125,2.02E-06,0.000730472,0,0
CHST9,5.59740429,4.298635803,0.909315489,4.727331551,2.27E-06,0.000788103,0,0
ASPN,5.844549596,-1.152828171,0.246188768,-4.68270011,2.83E-06,0.00093996,0,0
CACNB4,8.202497922,3.379985273,0.741488191,4.55838045,5.15E-06,0.001642989,0,0
LEPREL1,25.94934431,1.900814001,0.424085954,4.482143265,7.39E-06,0.002264662,0,0
ANTXR1,13.13340829,-0.737840165,0.166029278,-4.444036462,8.83E-06,0.002605437,0,0
S100A4,63.73588609,-1.158345397,0.262058416,-4.420180102,9.86E-06,0.002806406,0,0
ZNF341,1.939377616,-2.348400476,0.531673823,-4.416994732,1.00E-05,,0,0
SNORA6,14.02550833,5.466872838,1.256205957,4.351892146,1.35E-05,0.003708353,0,0
NAA38,11813785.47,4.560992549,1.052338597,4.334149259,1.46E-05,0.003886389,0,0
AKAP6,12.62330303,2.028772664,0.471001432,4.307359861,1.65E-05,0.004246551,0,0
MTRNR2L1,1620.44197,3.585674966,0.837910221,4.279306874,1.87E-05,0.004668158,0,0
CCDC85A,4.40019551,3.276535396,0.769636639,4.257249761,2.07E-05,,0,0
STOX2,10.94192987,1.350192178,0.319436962,4.226787569,2.37E-05,0.005723711,0,0
MAGIX,1.007224519,-2.180754906,0.516426327,-4.22278027,2.41E-05,,0,0
SLC25A21,3.109720513,4.143632989,0.981911143,4.219967377,2.44E-05,,0,0
SNORA9,55.43798005,4.674517567,1.110329254,4.210028285,2.55E-05,0.005983938,0,0
COL12A1,15.39753389,-1.054818792,0.25242873,-4.178679623,2.93E-05,0.006675053,0,0
RPS6KL1,0.630611715,-2.191467472,0.5263259,-4.163708211,3.13E-05,,0,0
