,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
0,KRT16P5,-1.474275334,-0.560005986,-2.065783742,0.423249709,0.645529235,0,0
1,KRT16P3,-1.158474935,-0.21222683,0.698547122,0.598622367,0.779482071,0,0
2,KRT16P2,1.785481203,0.836312946,3.744968079,0.060199535,0.211666915,0,0
3,KRT16P6,-2.534136325,-1.341494137,0.404997149,0.023715639,0.123726697,0,0
4,CRHBP,1.441890758,0.527961865,-0.015277056,0.034942111,0.15340401,0,0
5,LOC105377714,1.21677621,0.283063851,-1.593632212,0.423465646,0.645742855,0,0
6,HTR6,1.360288751,0.443912928,-0.01084707,0.050642236,0.190467819,0,0
7,HTR7,1.595475594,0.67398654,2.548371202,0.040087048,0.165970617,0,0
8,LURAP1L,-1.045730207,-0.064510692,4.00724267,0.718551239,0.85903525,0,0
9,BBX,1.109490334,0.149897098,8.598950845,0.111460527,0.301512262,0,0
10,EXOC3-AS1,1.126193803,0.171455118,0.897337981,0.4322385,0.653358173,0,0
11,LOC105377703,1.32594276,0.407018497,1.269662145,0.290307394,0.521688138,0,0
12,LOC105377700,-1.049282461,-0.069403096,3.215091485,0.74689341,0.876992274,0,0
13,ORAI3,1.058290664,0.081735925,3.992594645,0.608187794,0.786809144,0,0
14,AGTR1,-1.818709324,-0.862914982,2.823115249,0.010724515,0.077610483,0,0
15,ORAI2,1.191170722,0.2523802,4.706163538,0.134651735,0.336348818,0,0
16,VOPP1,1.199710866,0.262686754,7.991688538,0.152076156,0.360704279,0,0
17,HOATZ,-1.048282283,-0.06802726,1.250497813,0.834668629,0.926483115,0,0
18,CLEC20A,1.203455923,0.267183304,0.790715589,0.122866559,0.319386291,0,0
19,LOC100421518,-1.123935752,-0.168559569,0.287241535,0.608738721,0.787212922,0,0
20,COL13A1,-1.268582534,-0.343217385,3.759950432,0.122521037,0.318886837,0,0
21,SHMT2,1.487886527,0.573264504,5.410505955,0.004864426,0.050508762,0,0
22,SHMT1,-1.088451972,-0.122277751,0.720388864,0.55379155,0.748915506,0,0
23,B3GLCT,-1.180394548,-0.239269162,5.107420479,0.019851313,0.110721735,0,0
24,RDH12,1.206174084,0.270438143,0.153129422,0.154186363,0.363858476,0,0
25,RDH11,1.140338632,0.189462307,5.686237255,0.192924158,0.414114825,0,0
26,LOC105377732,1.061871239,0.086608838,0.424907456,0.807212929,0.910578761,0,0
27,RDH10,1.141985969,0.191544925,5.171996032,0.438760277,0.659106848,0,0
28,RDH16,1.371574879,0.455833386,0.507480424,0.147594327,0.354606486,0,0
