sample	treatment
SRR60113474	male
SRR60113475	male
SRR60113476	male
SRR60113477	male
SRR60113478	male
SRR60113479	male
SRR60113480	male
SRR60113481	male
SRR60113482	male
SRR60113483	female
SRR60113484	male
SRR60113485	male
SRR60113486	male
SRR60113487	male
SRR60113488	male
SRR60113489	male
SRR60113490	male
SRR60113491	male
SRR60113492	female
SRR60113493	male
SRR60113494	male
SRR60113495	male
SRR60113496	male
SRR60113497	male
SRR60113498	male
SRR60113499	male
SRR60113500	male
SRR60113501	male
SRR60113502	female
SRR60113503	male
SRR60113504	male
SRR60113505	male
SRR60113506	male
SRR60113507	male
SRR60113508	female
SRR60113509	female
SRR60113510	male
SRR60113511	male
SRR60113512	female
SRR60113513	female
SRR60113514	male
SRR60113515	male
SRR60113516	male
SRR60113517	male
SRR60113518	male
SRR60113519	female
SRR60113520	male
SRR60113521	male
SRR60113522	male
SRR60113523	female
SRR60113524	male
SRR60113525	male
SRR60113526	male
SRR60113527	male
SRR60113528	male
SRR60113529	male
SRR60113530	female
SRR60113531	male
SRR60113532	male
SRR60113533	male
SRR60113534	female
SRR60113535	male
SRR60113536	male
SRR60113537	male
SRR60113538	male
SRR60113539	male
SRR60113540	male
SRR60113541	male
SRR60113542	male
SRR60113543	male
SRR60113544	male
SRR60113545	male
SRR60113546	male
SRR60113547	female
SRR60113548	female
SRR60113549	female
SRR60113550	male
SRR60113551	female
SRR60113552	male
SRR60113553	female
SRR60113554	male
SRR60113555	female
SRR60113556	female
SRR60113557	female
SRR60113558	male
SRR60113559	male
SRR60113560	male
SRR60113561	male
SRR60113562	male
SRR60113563	male
SRR60113564	male
SRR60113565	male
SRR60113566	male
SRR60113567	female
SRR60113568	male
SRR60113569	male
SRR60113570	male
SRR60113571	male
SRR60113572	male
SRR60113573	male
SRR60113574	male
SRR60113575	male
SRR60113576	female
SRR60113577	female
SRR60113578	female
SRR60113579	male
SRR60113580	female
SRR60113581	male
SRR60113582	male
SRR60113583	female
SRR60113584	female
SRR60113585	male
SRR60113586	male
SRR60113587	female
SRR60113588	female
SRR60113589	male
SRR60113590	female
SRR60113591	male
SRR60113592	female
SRR60113593	female
SRR60113594	male
SRR60113595	female
SRR60113596	male
SRR60113597	male
SRR60113598	female
SRR60113599	male
SRR60113600	male
SRR60113601	male
SRR60113602	female
SRR60113603	male
