sample	treatment
R01-034	male
R01-159	male
R01-093	male
R01-094	male
R01-096	male
R01-097	male
R01-035	male
R01-037	male
R01-005	male
R01-147	female
R01-051	male
R01-043	male
R01-028	male
R01-023	male
R01-052	male
R01-056	male
R01-057	male
R01-059	male
R01-060	female
R01-061	male
R01-062	male
R01-063	male
R01-024	male
R01-066	male
R01-067	male
R01-068	male
R01-072	male
R01-080	male
R01-081	female
R01-154	male
R01-083	male
R01-084	male
R01-006	male
R01-048	male
R01-077	female
R01-078	female
R01-003	male
R01-007	male
R01-012	female
R01-013	female
R01-015	male
R01-016	male
R01-153	male
R01-017	male
R01-018	male
R01-021	female
R01-022	male
R01-026	male
R01-004	male
R01-014	female
R01-031	male
R01-027	male
R01-029	male
R01-038	male
R01-039	male
R01-040	male
R01-041	female
R01-042	male
R01-046	male
R01-156	male
R01-049	female
R01-032	male
R01-160	male
R01-054	male
R01-055	male
R01-064	male
R01-065	male
R01-069	male
R01-071	male
R01-073	male
R01-076	male
R01-148	male
R01-033	male
R01-149	female
R01-079	female
R01-150	female
R01-089	male
R01-157	female
R01-158	male
R01-151	female
R01-152	male
R01-091	female
R01-098	female
R01-107	female
R01-108	male
R01-109	male
R01-110	male
R01-111	male
R01-112	male
R01-113	male
R01-114	male
R01-115	male
R01-116	male
R01-099	female
R01-117	male
R01-118	male
R01-119	male
R01-120	male
R01-121	male
R01-122	male
R01-123	male
R01-124	male
R01-125	female
R01-126	female
R01-100	female
R01-127	male
R01-128	female
R01-129	male
R01-130	male
R01-131	female
R01-132	female
R01-133	male
R01-134	male
R01-135	female
R01-136	female
R01-101	male
R01-137	female
R01-138	male
R01-139	female
R01-140	female
R01-141	male
R01-142	female
R01-144	male
R01-145	male
R01-146	female
R01-102	male
R01-103	male
R01-104	male
R01-105	female
R01-106	male
